Date,Replicates,Box,Reactor,Rack,As-of-2020-11-22(Yes/No Existing),Replicates-as-of-2020-11-23
9/1/05,2,2,R1,,Y,1
9/8/05,2,2,R1,,Y,2
9/9/05,2,2,R1,,Y,2
9/15/05,2,2,R1,,Y,2
10/6/05,2,2,R1,,Y,1
10/13/05,2,2,R1,,Y,2
10/20/05,2,2,R1,,Y,2
10/21/05,2,2,R1,,Y,2
10/27/05,2,2,R1,,Y,2
12/8/05,2,2,R1,,Y,1
12/16/05,2,2,R1,,Y,2
1/24/06,2,2,R1,,Y,1
1/26/06,2,2,R1,,Y,2
2/2/06,2,2,R1,,Y,1
2/8/06,2,2,R1,,Y,2
2/9/06,1,2,R1,,Y,1
2/14/06,2,2,R1,,Y,2
2/23/06,2,2,R1,,Y,2
3/2/06,2,2,R1,,Y,1
3/7/06,2,2,R1,,Y,2
3/15/06,1,2,R1,,Y,1
3/24/06,2,2,R1,,Y,2
3/30/06,2,2,R1,,Y,2
4/6/06,2,2,R1,,Y,1
4/12/06,2,2,R1,,Y,2
4/15/06,1,2,R1,,Y,1
4/18/06,1,2,R1,,Y,1
4/27/06,2,2,R1,,Y,2
5/4/06,2,2,R1,,Y,1
5/10/06,2,2,R1,,Y,2
5/20/06,1,2,R1,,Y,1
6/3/06,2,2,R1,,Y,1
6/5/06,2,2,R1,,Y,2
6/7/05,2,2,R1,,Y,2
5/28/06,2,2,R1,,Y,2
5/29/06,1,2,R1,,Y,1
6/14/06,2,2,R1,,Y,1
6/16/06,3,2,R1,,Y,3
6/17/06,2,2,R1,,Y,2
6/18/06,1,2,R1,,Y,1
6/18/06,1,3,R1,,Y,1
6/19/06,2,3,R1,,Y,2
6/20/06,2,3,R1,,Y,2
6/21/06,2,3,R1,,Y,2
6/22/06,2,3,R1,,Y,2
6/24/06,1,3,R1,,Y,1
6/25/06,2,3,R1,,Y,2
6/28/06,2,3,R1,,Y,2
6/30/06,3,3,R1,,Y,3
7/6/06,2,3,R1,,Y,1
7/12/06,2,3,R1,,Y,2
7/13/06,2,3,R1,,Y,2
7/20/06,2,3,R1,,Y,2
7/21/06,2,3,R1,,Y,2
8/3/06,2,3,R1,,Y,1
8/17/06,2,3,R1,,Y,2
9/1/06,2,3,R1,,Y,2
9/7/06,2,3,R1,,Y,1
9/12/06,2,3,R1,,Y,2
9/14/06,2,3,R1,,Y,2
9/19/06,2,3,R1,,Y,2
9/21/06,2,3,R1,,Y,2
9/26/06,2,3,R1,,Y,2
9/28/06,2,3,R1,,Y,2
10/3/06,2,3,R1,,Y,1
10/5/06,2,3,R1,,Y,2
10/12/06,2,3,R1,,Y,1
10/18/06,2,3,R1,,Y,2
10/24/06,2,3,R1,,Y,2
10/26/06,2,3,R1,,Y,2
11/14/06,2,3,R1,,Y,1
11/16/06,2,3,R1,,Y,2
11/21/06,2,3,R1,,Y,2
11/30/06,2,3,R1,,Y,2
12/5/06,2,3,R1,,Y,1
12/7/06,2,3,R1,,Y,2
12/12/06,2,3,R1,,Y,2
12/21/06,1,3,R1,,Y,1
12/28/06,2,3,R1,,Y,2
1/4/07,1,3,R1,,Y,1
1/8/07,2,3,R1,,Y,1
1/10/07,2,3,R1,,Y,2
1/12/07,2,4,R1,,Y,2
1/16/07,1,4,R1,,Y,1
1/23/07,1,4,R1,,Y,1
1/31/07,1,4,R1,,Y,1
2/2/07,2,4,R1,,Y,1
2/6/07,2,4,R1,,Y,2
2/8/07,2,4,R1,,Y,2
2/15/07,2,4,R1,,Y,2
2/16/07,1,4,R1,,Y,1
2/20/07,2,4,R1,,Y,2
2/22/07,2,4,R1,,Y,2
2/28/07,1,4,R1,,Y,1
3/1/07,2,4,R1,,Y,1
3/6/07,2,4,R1,,Y,2
3/8/07,2,4,R1,,Y,2
3/13/07,2,4,R1,,Y,2
3/15/07,2,4,R1,,Y,2
3/20/07,2,4,R1,,Y,2
3/21/07,2,4,R1,,Y,1
3/22/07,1,4,R1,,Y,2
3/27/07,2,4,R1,,Y,2
3/29/07,2,4,R1,,Y,2
4/4/07,2,4,R1,,Y,1
4/6/07,1,4,R1,,Y,1
4/10/07,2,4,R1,,Y,2
4/12/07,2,4,R1,,Y,2
4/17/07,2,4,R1,,Y,2
4/19/07,2,4,R1,,Y,2
4/24/07,1,4,R1,,Y,1
4/26/07,2,4,R1,,Y,2
5/1/07,2,4,R1,,Y,1
5/3/07,2,4,R1,,Y,2
5/8/07,2,4,R1,,Y,2
5/10/07,2,4,R1,,Y,2
5/15/07,2,4,R1,,Y,2
5/17/07,2,4,R1,,Y,2
5/22/07,1,4,R1,,Y,1
5/24/07,1,4,R1,,Y,1
5/29/07,2,4,R1,,Y,2
6/1/07,2,4,R1,,Y,1
6/8/07,2,4,R1,,Y,2
6/12/07,2,4,R1,,Y,2
6/14/07,2,4,R1,,Y,2
6/18/07,2,4,R1,,Y,2
6/21/07,2,4,R1,,Y,2
6/25/07,1,4,R1,,Y,1
6/25/07,1,5,R1,,Y,1
6/28/07,2,5,R1,,Y,2
7/10/07,1,5,R1,,N,0
7/12/07,1,5,R1,,Y,1
7/18/07,1,5,R1,,Y,1
7/24/07,1,5,R1,,Y,1
8/1/07,1,5,R1,,N,0
8/9/07,1,5,R1,,Y,1
9/7/07,1,5,R1,,Y,1
9/10/07,2,5,R1,,Y,1
9/14/07,1,5,R1,,Y,1
9/24/07,2,5,R1,,Y,2
10/1/07,1,5,R1,,Y,1
10/5/07,2,5,R1,,Y,1
10/8/07,1,5,R1,,Y,1
10/12/07,1,5,R1,,Y,2
10/15/07,1,5,R1,,Y,1
10/19/07,2,5,R1,,Y,2
10/22/07,1,5,R1,,Y,1
10/26/07,2,5,R1,,Y,2
10/29/07,1,5,R1,,Y,1
11/2/07,2,5,R1,,Y,1
11/5/07,1,5,R1,,Y,1
11/9/07,2,5,R1,,Y,2
11/12/07,1,5,R1,,Y,1
11/16/07,2,5,R1,,Y,2
11/19/07,1,5,R1,,Y,1
11/23/07,2,5,R1,,Y,2
11/26/07,1,5,R1,,Y,1
12/3/07,1,5,R1,,Y,1
12/7/07,2,5,R1,,Y,1
12/10/07,2,5,R1,,Y,2
12/13/07,1,5,R1,,Y,1
12/18/07,2,5,R1,,Y,2
12/26/07,1,5,R1,,Y,1
12/28/07,2,5,R1,,Y,2
1/2/08,1,5,R1,,Y,1
1/4/08,2,5,R1,,Y,1
1/10/08,1,5,R1,,Y,1
1/13/08,1,5,R1,,Y,1
1/16/08,1,5,R1,,Y,1
1/18/08,2,5,R1,,Y,2
1/21/08,2,5,R1,,Y,2
1/24/08,1,5,R1,,Y,1
1/25/08,2,5,R1,,Y,2
1/28/08,2,5,R1,,Y,2
1/31/08,2,5,R1,,Y,2
2/4/08,2,5,R1,,Y,1
2/11/08,2,5,R1,,Y,2
2/14/08,1,5,R1,,Y,1
2/18/08,2,5,R1,,Y,2
2/21/08,1,5,R1,,Y,1
2/26/08,2,5,R1,,Y,2
2/28/08,1,5,R1,,Y,1
3/3/08,2,5,R1,,Y,1
3/6/08,1,6,R1,,Y,1
3/10/08,2,6,R1,,Y,2
3/18/08,1,6,R1,,Y,2
3/21/08,1,6,R1,,Y,1
3/24/08,1,6,R1,,Y,1
3/27/08,1,6,R1,,Y,1
4/1/08,2,6,R1,,Y,1
4/3/08,1,6,R1,,Y,1
4/7/08,1,6,R1,,Y,1
4/21/08,2,6,R1,,Y,2
4/28/08,2,6,R1,,Y,2
3/13/08,1,6,R1,,Y,1
3/24/08,1,6,R1,,Y,1
4/7/08,1,6,R1,,Y,1
4/10/08,1,6,R1,,Y,1
4/14/08,2,6,R1,,Y,2
4/17/08,1,6,R1,,Y,1
5/1/08,1,6,R1,,Y,1
5/5/08,2,6,R1,,Y,1
5/8/08,1,6,R1,,Y,1
5/19/08,2,6,R1,,Y,2
5/12/08,1,6,R1,,Y,2
5/15/08,1,6,R1,,Y,1
5/22/08,1,6,R1,,Y,1
5/26/08,1,6,R1,,Y,1
5/26/08,1,6,R1,,Y,1
6/2/08,2,6,R1,,N,0
6/5/08,1,6,R1,,Y,1
6/9/08,2,6,R1,,Y,2
6/12/08,1,6,R1,,Y,1
6/16/08,2,6,R1,,Y,2
6/18/08,1,6,R1,,Y,1
6/19/08,1,6,R1,,Y,1
6/23/08,2,6,R1,,Y,2
6/25/08,1,6,R1,,Y,1
7/1/08,2,6,R1,,Y,1
7/4/08,1,6,R1,,Y,1
7/7/08,2,6,R1,,Y,2
7/10/08,1,6,R1,,Y,1
7/14/08,2,6,R1,,Y,2
7/17/08,1,6,R1,,Y,1
7/21/08,2,6,R1,,Y,2
7/24/08,1,6,R1,,Y,1
7/28/08,2,6,R1,,Y,2
7/31/08,1,6,R1,,Y,1
8/7/08,1,6,R1,,Y,1
8/14/08,2,6,R1,,Y,2
8/11/08,2,6,R1,,Y,2
8/19/08,2,6,R1,,Y,2
8/21/08,1,6,R1,,Y,1
8/25/08,2,6,R1,,Y,2
8/28/08,1,6,R1,,Y,1
9/2/08,2,6,R1,,Y,1
9/5/08,2,6,R1,,Y,2
9/8/08,1,6,R1,,Y,1
9/12/08,1,6,R1,,Y,1
9/12/08,1,7,R1,,Y,1
9/15/08,1,7,R1,,Y,1
9/19/08,2,7,R1,,Y,2
9/22/08,1,7,R1,,Y,1
9/26/08,2,7,R1,,Y,2
9/29/08,1,7,R1,,Y,1
10/3/08,2,7,R1,,Y,1
10/6/08,1,7,R1,,Y,1
10/10/08,2,7,R1,,Y,2
10/13/08,1,7,R1,,Y,1
10/17/08,2,7,R1,,Y,2
10/20/08,1,7,R1,,Y,1
10/24/08,2,7,R1,,Y,2
10/27/08,1,7,R1,,Y,1
10/31/08,2,7,R1,,Y,2
11/5/08,1,7,R1,,Y,1
11/7/08,2,7,R1,,Y,1
11/10/08,1,7,R1,,Y,1
11/14/08,2,7,R1,,Y,2
11/17/08,1,7,R1,,Y,1
11/21/08,2,7,R1,,Y,2
11/24/08,1,7,R1,,Y,1
11/28/08,2,7,R1,,Y,2
12/5/08,1,7,R1,,Y,1
12/8/08,1,7,R1,,Y,1
12/12/08,2,7,R1,,Y,1
12/15/08,1,7,R1,,Y,1
12/19/08,2,7,R1,,Y,2
12/22/08,1,7,R1,,Y,1
12/26/08,2,7,R1,,Y,2
12/30/08,1,7,R1,,Y,1
1/2/09,2,7,R1,,Y,1
1/5/09,1,7,R1,,Y,1
1/9/09,2,7,R1,,Y,2
1/12/09,1,7,R1,,Y,1
1/16/09,2,7,R1,,Y,1
1/19/09,1,7,R1,,Y,1
1/23/09,2,7,R1,,Y,2
1/26/09,1,7,R1,,Y,1
1/29/09,2,7,R1,,Y,2
2/5/09,2,7,R1,,Y,1
2/9/09,1,7,R1,,Y,1
2/13/09,2,7,R1,,Y,2
2/16/09,2,7,R1,,Y,2
2/20/09,1,7,R1,,N,0
2/23/09,2,7,R1,,Y,2
2/26/09,2,7,R1,,Y,2
3/2/09,2,7,R1,,N,0
3/5/09,1,7,R1,,Y,1
3/9/09,2,7,R1,,Y,2
3/12/09,2,7,R1,,Y,2
3/16/09,2,7,R1,,Y,2
3/19/09,1,7,R1,,N,0
3/19/09,1,8,R1,,N,0
3/23/09,2,8,R1,,Y,2
3/26/09,2,8,R1,,Y,2
3/30/09,2,8,R1,,Y,2
4/2/09,1,8,R1,,Y,1
4/6/09,2,8,R1,,Y,1
4/9/09,2,8,R1,,Y,2
4/13/09,2,8,R1,,Y,2
4/16/09,1,8,R1,,Y,1
4/20/09,2,8,R1,,Y,2
4/23/09,2,8,R1,,Y,1
4/27/09,1,8,R1,,Y,2
4/30/09,1,8,R1,,Y,1
5/4/09,2,8,R1,,N,0
5/7/09,2,8,R1,,Y,2
5/11/09,2,8,R1,,Y,2
5/15/09,1,8,R1,,Y,1
5/21/09,2,8,R1,,Y,1
5/26/09,2,8,R1,,Y,2
5/28/09,1,8,R1,,Y,1
6/1/09,2,8,R1,,Y,1
6/4/09,2,8,R1,,Y,2
6/9/09,2,8,R1,,Y,2
6/11/09,1,8,R1,,Y,1
6/16/09,2,8,R1,,Y,2
6/18/09,2,8,R1,,Y,1
6/22/09,2,8,R1,,Y,2
6/25/09,1,8,R1,,Y,1
6/29/09,2,8,R1,,Y,2
7/1/09,2,8,R1,,N,0
7/6/09,2,8,R1,,Y,2
7/9/09,1,8,R1,,Y,1
7/13/09,1,8,R1,,Y,2
7/16/09,2,8,R1,,Y,2
7/20/09,2,8,R1,,Y,1
7/23/09,1,8,R1,,Y,1
7/27/01,1,8,R1,,Y,1
7/29/09,1,8,R1,,Y,1
7/30/09,1,8,R1,,Y,1
8/3/09,2,8,R1,,Y,1
8/10/09,1,8,R1,,Y,1
8/13/09,2,8,R1,,Y,2
8/17/09,2,8,R1,,Y,2
8/20/09,1,8,R1,,N,0
8/24/09,2,8,R1,,Y,2
8/27/09,2,8,R1,,Y,2
8/31/09,2,8,R1,,Y,2
9/3/09,1,8,R1,,Y,1
9/8/09,2,8,R1,,Y,1
9/10/09,2,9,R1,,,
9/14/09,2,9,R1,,,
9/17/09,1,9,R1,,,
9/21/09,2,9,R1,,,
9/24/09,2,9,R1,,,
9/28/09,2,9,R1,,,
10/1/09,1,9,R1,,,
10/5/09,2,9,R1,,,
10/8/09,2,9,R1,,,
10/12/09,2,9,R1,,,
10/15/09,1,9,R1,,,
10/19/09,2,9,R1,,,
10/22/09,2,9,R1,,,
10/26/09,2,9,R1,,,
10/30/09,1,9,R1,,,
11/2/09,2,9,R1,,,
11/5/09,2,9,R1,,,
11/9/09,2,9,R1,,,
11/13/09,1,9,R1,,,
11/16/09,2,9,R1,,,
11/20/09,2,9,R1,,,
11/24/09,2,9,R1,,,
12/1/09,2,9,R1,,,
12/3/09,1,9,R1,,,
12/7/09,2,9,R1,,,
12/10/09,2,9,R1,,,
12/14/09,2,9,R1,,,
12/18/09,1,9,R1,,,
12/21/09,2,9,R1,,,
12/28/09,1,9,R1,,,
1/4/10,1,9,R1,,,
1/8/10,2,9,R1,,,
1/11/10,1,9,R1,,,
1/14/10,2,9,R1,,,
1/18/10,2,9,R1,,,
1/21/10,1,9,R1,,,
1/25/10,2,9,R1,,,
1/28/10,2,9,R1,,Y,2
2/1/10,2,9,R1,,Y,1
2/4/10,1,9,R1,,Y,1
2/8/10,2,9,R1,,Y,2
2/11/10,2,9,R1,,Y,2
2/15/10,1,9,R1,,Y,2
2/17/10,1,9,R1,,N,0
2/18/10,1,9,R1,,N,0
2/22/10,2,9,R1,,Y,2
2/25/10,2,9,R1,,Y,2
3/2/10,1,9,R1,,N,0
3/9/10,1,9,R1,,N,0
3/9/10,1,10,R1,,Y,2
3/12/10,2,10,R1,,Y,2
3/16/10,2,10,R1,,Y,1
3/18/10,1,10,R1,,Y,1
3/23/10,2,10,R1,,Y,1
3/25/10,2,10,R1,,Y,2
3/30/10,2,10,R1,,Y,2
4/6/10,1,10,R1,,Y,1
4/8/10,2,10,R1,,Y,1
4/13/10,2,10,R1,,Y,2
4/15/10,1,10,R1,,Y,1
4/20/10,2,10,R1,,Y,2
4/22/10,2,10,R1,,Y,1
4/27/10,2,10,R1,,Y,2
4/29/10,1,10,R1,,Y,1
5/4/10,2,10,R1,,N,0
5/6/10,2,10,R1,,Y,2
5/11/10,2,10,R1,,Y,2
5/13/10,1,10,R1,,Y,1
5/20/10,2,10,R1,,Y,1
5/25/10,2,10,R1,,Y,2
5/27/10,1,10,R1,,Y,1
6/1/10,2,10,R1,,Y,2
6/3/10,2,10,R1,,Y,1
6/8/10,2,10,R1,,Y,2
6/10/10,1,10,R1,,Y,1
6/15/10,2,10,R1,,Y,2
6/17/10,2,10,R1,,Y,1
6/22/10,2,10,R1,,Y,2
6/24/10,1,10,R1,,Y,1
6/29/10,2,10,R1,,Y,2
7/1/10,2,10,R1,,Y,1
7/6/10,2,10,R1,,Y,2
7/8/10,1,10,R1,,Y,1
7/13/10,1,10,R1,,Y,1
7/15/10,1,10,R1,,Y,1
7/22/10,2,10,R1,,Y,2
7/27/10,1,10,R1,,Y,1
7/29/10,2,10,R1,,Y,1
8/3/10,1,10,R1,,Y,1
8/5/10,2,10,R1,,Y,1
8/10/10,1,10,R1,,Y,1
8/12/10,2,10,R1,,Y,2
8/17/10,1,10,R1,,Y,1
8/19/10,2,10,R1,,Y,1
8/21/10,1,10,R1,,Y,1
8/27/10,2,10,R1,,Y,2
8/31/10,1,10,R1,,Y,1
9/2/10,2,10,R1,,N,0
9/7/10,1,10,R1,,Y,1
9/9/10,2,10,R1,,Y,2
9/13/10,1,10,R1,,Y,1
9/17/10,2,10,R1,,Y,1
9/20/10,1,10,R1,,Y,1
9/24/10,2,10,R1,,Y,2
9/27/10,2,10,R1,,Y,2
10/1/10,1,10,R1,,Y,2
10/8/10,1,10,R1,,Y,2
10/11/10,1,10,R1,,N,0
10/14/10,2,10,R1,,N,0
10/15/10,2,10,R1,,Y,2
10/18/10,2,10,R1,,Y,2
10/8/10,1,11,R1,,N,
10/22/10,1,11,R1,,Y,1
10/26/10,2,11,R1,,Y,2
11/1/10,2,11,R1,,Y,1
11/8/10,1,11,R1,,Y,1
11/12/10,2,11,R1,,Y,1
11/16/10,1,11,R1,,Y,1
11/19/10,2,11,R1,,Y,1
11/23/10,1,11,R1,,Y,1
11/30/10,2,11,R1,,Y,2
12/3/10,1,11,R1,,Y,1
12/6/10,2,11,R1,,N,0
12/10/10,2,11,R1,,Y,2
12/13/10,2,11,R1,,Y,2
12/16/10,1,11,R1,,Y,1
12/20/10,2,11,R1,,Y,1
12/23/10,1,11,R1,,Y,1
12/28/10,2,11,R1,,Y,2
12/31/10,1,11,R1,,Y,1
1/4/11,2,11,R1,,Y,1
1/7/11,1,11,R1,,N,0
1/10/11,1,11,R1,,Y,1
1/17/11,1,11,R1,,N,0
1/21/11,2,11,R1,,Y,2
1/25/11,2,11,R1,,Y,2
1/28/11,2,11,R1,,Y,2
1/31/11,2,11,R1,,Y,2
2/4/11,2,11,R1,,Y,1
2/7/11,1,11,R1,,Y,1
2/11/11,2,11,R1,,Y,1
2/14/11,2,11,R1,,Y,2
2/18/11,2,11,R1,,Y,1
2/21/11,2,11,R1,,Y,2
2/25/11,2,11,R1,,Y,2
3/1/11,1,11,R1,,Y,2
3/5/11,1,11,R1,,Y,1
3/8/11,2,11,R1,,N,0
3/10/11,2,11,R1,,Y,2
3/14/11,2,11,R1,,Y,2
3/18/11,2,11,R1,,Y,1
3/25/11,2,11,R1,,Y,2
3/29/11,1,11,R1,,Y,1
4/1/11,2,11,R1,,Y,2
4/5/11,2,11,R1,,Y,1
4/8/11,2,11,R1,,Y,2
4/12/11,2,11,R1,,Y,2
4/15/11,2,11,R1,,Y,2
4/18/11,2,11,R1,,Y,2
4/22/11,1,12,R1,,N,0
4/26/11,2,12,R1,,Y,2
4/29/11,2,12,R1,,Y,2
5/3/11,2,12,R1,,Y,2
5/6/11,2,12,R1,,N,0
5/9/11,2,12,R1,,Y,2
5/12/11,2,12,R1,,Y,2
5/19/11,1,12,R1,,N,0
5/23/11,2,12,R1,,Y,2
5/26/11,2,12,R1,,Y,2
5/31/11,2,12,R1,,Y,2
6/3/11,2,12,R1,,Y,1
6/6/11,2,12,R1,,Y,2
6/9/11,1,12,R1,,Y,1
6/13/11,2,12,R1,,Y,2
6/17/11,2,12,R1,,Y,1
6/20/11,2,12,R1,,Y,2
6/23/11,2,12,R1,,Y,2
6/27/11,2,12,R1,,Y,2
7/1/11,2,12,R1,,Y,1
7/5/11,1,12,R1,,Y,1
7/8/11,2,12,R1,,Y,2
7/11/11,2,12,R1,,Y,2
7/15/11,2,12,R1,,Y,1
7/19/11,2,12,R1,,Y,2
7/20/11,2,12,R1,,Y,2
7/26/11,2,12,R1,,Y,2
7/29/11,1,12,R1,,Y,1
8/1/11,2,12,R1,,Y,1
8/4/11,1,12,R1,,Y,1
8/9/11,2,12,R1,,Y,2
8/12/11,1,12,R1,,Y,1
8/15/11,2,12,R1,,Y,1
8/18/11,1,12,R1,,Y,1
8/22/11,2,12,R1,,Y,2
8/25/11,1,12,R1,,Y,1
8/29/11,2,12,R1,,Y,2
9/2/11,1,12,R1,,Y,1
9/6/11,2,12,R1,,Y,1
9/9/11,1,12,R1,,Y,1
9/12/11,2,12,R1,,Y,2
9/15/11,1,12,R1,,Y,1
9/19/11,2,12,R1,,Y,1
9/23/11,1,12,R1,,Y,1
9/30/11,2,12,R1,,Y,1
10/3/11,1,12,R1,,Y,1
10/7/11,2,12,R1,,Y,1
10/14/11,1,12,R1,,Y,1
10/17/11,2,13,R1,,Y,2
10/21/11,2,13,R1,,Y,2
10/24/11,2,13,R1,,Y,1
10/28/11,2,13,R1,,Y,2
10/31/11,1,13,R1,,Y,1
11/4/11,2,13,R1,,Y,2
11/7/11,2,13,R1,,N,0
11/11/11,2,13,R1,,Y,2
11/14/11,1,13,R1,,Y,2
11/16/11,2,13,R1,,Y,2
11/21/11,2,13,R1,,Y,1
11/28/11,2,13,R1,,Y,1
12/2/11,2,13,R1,,Y,1
12/5/11,2,13,R1,,Y,2
12/9/11,2,13,R1,,Y,2
12/12/11,2,13,R1,,Y,2
12/16/11,2,13,R1,,Y,2
12/19/11,2,13,R1,,Y,2
12/28/11,1,13,R1,,Y,1
1/3/12,2,13,R1,,Y,2
1/6/12,2,13,R1,,Y,1
1/9/12,2,13,R1,,Y,2
1/13/12,2,13,R1,,Y,2
1/16/12,2,13,R1,,Y,2
1/20/12,2,13,R1,,Y,2
1/23/12,2,13,R1,,Y,2
1/27/12,1,13,R1,,Y,1
1/30/12,2,13,R1,,Y,2
2/3/12,2,13,R1,,Y,1
2/6/12,2,13,R1,,Y,2
2/9/12,2,13,R1,,Y,2
2/13/12,2,13,R1,,Y,2
2/17/12,1,13,R1,,Y,1
2/20/12,2,13,R1,,Y,2
2/27/12,4,13,R1,,Y,4
3/2/12,2,13,R1,,Y,2
3/5/12,2,13,R1,,Y,1
3/9/12,2,13,R1,,Y,2
3/12/12,1,13,R1,,Y,1
3/15/12,2,13,R1,,Y,2
3/19/12,2,13,R1,,Y,2
3/23/12,2,13,R1,,Y,2
3/26/12,1,13,R1,,Y,1
3/26/12,1,14,R1,,Y,1
3/30/12,1,14,R1,,Y,1
4/2/12,2,14,R1,,Y,1
4/5/12,1,14,R1,,Y,1
4/9/12,2,14,R1,,Y,2
4/13/12,1,14,R1,,Y,1
4/16/12,2,14,R1,,Y,2
4/19/12,1,14,R1,,Y,1
4/23/12,2,14,R1,,Y,2
4/27/12,1,14,R1,,Y,1
4/30/12,2,14,R1,,Y,2
5/4/12,1,14,R1,,N,0
5/11/12,1,14,R1,,Y,1
5/14/12,2,14,R1,,Y,2
5/18/12,1,14,R1,,Y,1
5/21/12,2,14,R1,,Y,2
5/25/12,2,14,R1,,Y,2
5/28/12,1,14,R1,,Y,1
5/31/12,1,14,R1,,Y,1
6/4/12,2,14,R1,,Y,1
6/8/12,2,14,R1,,Y,2
6/11/12,2,14,R1,,Y,2
6/15/12,2,14,R1,,Y,2
6/18/12,2,14,R1,,Y,2
6/21/12,2,14,R1,,Y,2
6/25/12,2,14,R1,,Y,2
6/28/12,1,14,R1,,Y,1
7/1/12,2,14,R1,,Y,1
7/7/12,2,14,R1,,Y,2
7/12/12,2,14,R1,,Y,2
7/16/12,2,14,R1,,Y,2
7/20/12,2,14,R1,,Y,2
7/24/12,2,14,R1,,Y,2
7/30/12,1,14,R1,,Y,1
8/3/12,2,14,R1,,Y,1
8/9/12,2,14,R1,,Y,2
8/14/12,2,14,R1,,Y,2
8/17/12,2,14,R1,,Y,2
8/20/12,2,14,R1,,Y,2
8/27/12,1,14,R1,,Y,1
8/31/12,2,14,R1,,Y,2
9/3/12,2,14,R1,,Y,1
9/7/12,2,14,R1,,Y,2
9/10/12,2,14,R1,,Y,2
9/17/12,2,14,R1,,Y,2
9/20/12,1,14,R1,,Y,1
9/23/12,2,14,R1,,Y,2
9/27/12,2,14,R1,,Y,2
9/30/12,2,15,R1,,Y,2
10/5/12,2,15,R1,,Y,1
10/8/12,1,15,R1,,Y,1
10/11/12,2,15,R1,,Y,2
10/13/12,2,15,R1,,Y,2
10/19/12,2,15,R1,,Y,2
10/22/12,2,15,R1,,Y,2
10/25/12,2,15,R1,,Y,2
10/29/12,2,15,R1,,Y,2
11/1/12,1,15,R1,,Y,1
11/6/12,2,15,R1,,Y,1
11/8/12,2,15,R1,,Y,2
11/13/12,2,15,R1,,Y,2
11/19/12,2,15,R1,,Y,2
11/27/12,2,15,R1,,Y,2
11/29/12,1,15,R1,,Y,1
12/4/12,2,15,R1,,Y,1
12/7/12,2,15,R1,,Y,2
12/11/12,2,15,R1,,Y,2
12/15/12,2,15,R1,,Y,2
12/17/12,2,15,R1,,Y,2
1/8/12,2,15,R1,,Y,1
1/21/13,1,15,R1,,Y,1
1/25/13,2,15,R1,,Y,2
1/28/13,2,15,R1,,Y,2
2/1/13,2,15,R1,,Y,2
2/8/13,2,15,R1,,Y,1
2/11/13,2,15,R1,,Y,2
3/1/13,2,15,R1,,Y,2
3/8/13,2,15,R1,,Y,1
3/15/13,2,15,R1,,Y,2
4/5/13,2,15,R1,,Y,1
4/13/13,1,15,R1,,Y,1
4/20/13,2,15,R1,,Y,2
4/23/13,2,15,R1,,Y,2
4/26/13,2,15,R1,,Y,2
4/30/13,3,15,R1,,Y,3
5/3/13,2,15,R1,,Y,1
5/5/13,2,15,R1,,N,0
5/6/13,2,15,R1,,Y,3?
5/10/13,2,15,R1,,Y,2
5/13/13,3,15,R1,,Y,3
4/12/13,1,16,R1,,Y,1
5/13/13,1,16,R1,,Y,1
